sido,sigungu,year
경기도,부천시,2012
경기도,부천시,2013
경기도,부천시,2014
경기도,부천시,2015
경기도,부천시,2016
경기도,부천시,2017
경기도,부천시,2018
경기도,부천시,2019
경기도,부천시,2020
경기도,부천시,2021
경기도,부천시,2022
경기도,부천시,2023
경기도,부천시,2024
경기도,부천시,2025
경기도,성남시,2008
경기도,성남시,2009
경기도,성남시,2010
경기도,성남시,2011
경기도,성남시,2012
경기도,성남시,2013
경기도,성남시,2014
경기도,성남시,2015
경기도,성남시,2016
경기도,성남시,2017
경기도,성남시,2018
경기도,성남시,2019
경기도,성남시,2020
경기도,성남시,2021
경기도,성남시,2022
경기도,성남시,2023
경기도,성남시,2024
경기도,성남시,2025
경기도,송탄출장소,2020
경기도,송탄출장소,2021
경기도,송탄출장소,2022
경기도,송탄출장소,2023
경기도,송탄출장소,2024
경기도,송탄출장소,2025
경기도,수원시,2008
경기도,수원시,2009
경기도,수원시,2010
경기도,수원시,2011
경기도,수원시,2012
경기도,수원시,2013
경기도,수원시,2014
경기도,수원시,2015
경기도,수원시,2016
경기도,수원시,2017
경기도,수원시,2018
경기도,수원시,2019
경기도,수원시,2020
경기도,수원시,2021
경기도,수원시,2022
경기도,수원시,2023
경기도,수원시,2024
경기도,수원시,2025
경기도,시흥시,2008
경기도,시흥시,2009
경기도,시흥시,2010
경기도,시흥시,2011
경기도,시흥시,2012
경기도,시흥시,2013
경기도,시흥시,2014
경기도,시흥시,2015
경기도,시흥시,2016
경기도,시흥시,2017
경기도,시흥시,2018
경기도,시흥시,2019
경기도,시흥시,2020
경기도,시흥시,2021
경기도,시흥시,2022
경기도,시흥시,2023
경기도,시흥시,2024
경기도,시흥시,2025
경기도,안산시,2008
경기도,안산시,2009
경기도,안산시,2010
경기도,안산시,2011
경기도,안산시,2012
경기도,안산시,2013
경기도,안산시,2014
경기도,안산시,2015
경기도,안산시,2016
경기도,안산시,2017
경기도,안산시,2018
경기도,안산시,2019
경기도,안산시,2020
경기도,안산시,2021
경기도,안산시,2022
경기도,안산시,2023
경기도,안산시,2024
경기도,안산시,2025
경기도,안성시,2008
경기도,안성시,2009
경기도,안성시,2010
경기도,안성시,2011
경기도,안성시,2012
경기도,안성시,2013
경기도,안성시,2014
경기도,안성시,2015
경기도,안성시,2016
경기도,안성시,2017
경기도,안성시,2018
경기도,안성시,2019
경기도,안성시,2020
경기도,안성시,2021
경기도,안성시,2022
경기도,안성시,2023
경기도,안성시,2024
경기도,안성시,2025
경기도,안양시,2008
경기도,안양시,2009
경기도,안양시,2010
경기도,안양시,2011
경기도,안양시,2012
경기도,안양시,2013
경기도,안양시,2014
경기도,안양시,2015
경기도,안양시,2016
경기도,안양시,2017
경기도,안양시,2018
경기도,안양시,2019
경기도,안양시,2020
경기도,안양시,2021
경기도,안양시,2022
경기도,안양시,2023
경기도,안양시,2024
경기도,안양시,2025
경기도,안중출장소,2020
경기도,안중출장소,2021
경기도,안중출장소,2022
경기도,안중출장소,2023
경기도,안중출장소,2024
경기도,안중출장소,2025
경기도,양주시,2008
경기도,양주시,2009
경기도,양주시,2010
경기도,양주시,2011
경기도,양주시,2012
경기도,양주시,2013
경기도,양주시,2014
경기도,양주시,2015
경기도,양주시,2016
경기도,양주시,2017
경기도,양주시,2018
경기도,양주시,2019
경기도,양주시,2020
경기도,양주시,2021
경기도,양주시,2022
경기도,양주시,2023
경기도,양주시,2024
경기도,양주시,2025
경기도,양평군,2008
경기도,양평군,2009
경기도,양평군,2010
경기도,양평군,2011
경기도,양평군,2012
경기도,양평군,2013
경기도,양평군,2014
경기도,양평군,2015
경기도,양평군,2016
경기도,양평군,2017
경기도,양평군,2018
경기도,양평군,2019
경기도,양평군,2020
경기도,양평군,2021
경기도,양평군,2022
경기도,양평군,2023
경기도,양평군,2024
경기도,양평군,2025
경기도,여주군,2008
경기도,여주군,2009
경기도,여주군,2010
경기도,여주군,2011
경기도,여주군,2012
경기도,여주군,2013
경기도,여주시,2013
경기도,여주시,2014
경기도,여주시,2015
경기도,여주시,2016
경기도,여주시,2017
경기도,여주시,2018
경기도,여주시,2019
경기도,여주시,2020
경기도,여주시,2021
경기도,여주시,2022
경기도,여주시,2023
경기도,여주시,2024
경기도,여주시,2025
경기도,연천군,2008
경기도,연천군,2009
경기도,연천군,2010
경기도,연천군,2011
경기도,연천군,2012
경기도,연천군,2013
경기도,연천군,2014
경기도,연천군,2015
경기도,연천군,2016
경기도,연천군,2017
경기도,연천군,2018
경기도,연천군,2019
경기도,연천군,2020
경기도,연천군,2021
경기도,연천군,2022
경기도,연천군,2023
경기도,연천군,2024
경기도,연천군,2025
경기도,오산시,2008
경기도,오산시,2009
경기도,오산시,2010
경기도,오산시,2011
경기도,오산시,2012
경기도,오산시,2013
경기도,오산시,2014
경기도,오산시,2015
경기도,오산시,2016
경기도,오산시,2017
경기도,오산시,2018
경기도,오산시,2019
경기도,오산시,2020
경기도,오산시,2021
경기도,오산시,2022
경기도,오산시,2023
경기도,오산시,2024
경기도,오산시,2025
경기도,용인시,2008
경기도,용인시,2009
경기도,용인시,2010
경기도,용인시,2011
경기도,용인시,2012
경기도,용인시,2013
경기도,용인시,2014
경기도,용인시,2015
경기도,용인시,2016
경기도,용인시,2017
경기도,용인시,2018
경기도,용인시,2019
경기도,용인시,2020
경기도,용인시,2021
경기도,용인시,2022
경기도,용인시,2023
경기도,용인시,2024
경기도,용인시,2025
경기도,의왕시,2008
경기도,의왕시,2009
경기도,의왕시,2010
경기도,의왕시,2011
경기도,의왕시,2012
경기도,의왕시,2013
경기도,의왕시,2014
경기도,의왕시,2015
경기도,의왕시,2016
경기도,의왕시,2017
경기도,의왕시,2018
경기도,의왕시,2019
경기도,의왕시,2020
경기도,의왕시,2021
경기도,의왕시,2022
경기도,의왕시,2023
경기도,의왕시,2024
경기도,의왕시,2025
경기도,의정부시,2008
경기도,의정부시,2009
경기도,의정부시,2010
경기도,의정부시,2011
경기도,의정부시,2012
경기도,의정부시,2013
경기도,의정부시,2014
경기도,의정부시,2015
경기도,의정부시,2016
경기도,의정부시,2017
경기도,의정부시,2018
경기도,의정부시,2019
경기도,의정부시,2020
경기도,의정부시,2021
경기도,의정부시,2022
경기도,의정부시,2023
경기도,의정부시,2024
경기도,의정부시,2025
경기도,이천시,2008
경기도,이천시,2009
경기도,이천시,2010
경기도,이천시,2011
경기도,이천시,2012
경기도,이천시,2013
경기도,이천시,2014
경기도,이천시,2015
경기도,이천시,2016
경기도,이천시,2017
경기도,이천시,2018
경기도,이천시,2019
경기도,이천시,2020
경기도,이천시,2021
경기도,이천시,2022
경기도,이천시,2023
경기도,이천시,2024
경기도,이천시,2025
경기도,파주시,2008
경기도,파주시,2009
경기도,파주시,2010
경기도,파주시,2011
경기도,파주시,2012
경기도,파주시,2013
경기도,파주시,2014
경기도,파주시,2015
경기도,파주시,2016
경기도,파주시,2017
경기도,파주시,2018
경기도,파주시,2019
경기도,파주시,2020
경기도,파주시,2021
경기도,파주시,2022
경기도,파주시,2023
경기도,파주시,2024
경기도,파주시,2025
경기도,평택시,2008
경기도,평택시,2009
경기도,평택시,2010
경기도,평택시,2011
경기도,평택시,2012
경기도,평택시,2013
경기도,평택시,2014
경기도,평택시,2015
경기도,평택시,2016
경기도,평택시,2017
경기도,평택시,2018
경기도,평택시,2019
경기도,평택시,2020
경기도,평택시,2021
경기도,평택시,2022
경기도,평택시,2023
경기도,평택시,2024
경기도,평택시,2025
경기도,포천시,2008
경기도,포천시,2009
경기도,포천시,2010
경기도,포천시,2011
경기도,포천시,2012
경기도,포천시,2013
경기도,포천시,2014
경기도,포천시,2015
경기도,포천시,2016
경기도,포천시,2017
경기도,포천시,2018
경기도,포천시,2019
경기도,포천시,2020
경기도,포천시,2021
경기도,포천시,2022
경기도,포천시,2023
경기도,포천시,2024
경기도,포천시,2025
경기도,풍양출장소,2020
경기도,풍양출장소,2021
경기도,풍양출장소,2022
경기도,풍양출장소,2023
경기도,풍양출장소,2024
경기도,풍양출장소,2025
경기도,하남시,2008
경기도,하남시,2009
경기도,하남시,2010
경기도,하남시,2011
경기도,하남시,2012
경기도,하남시,2013
경기도,하남시,2014
경기도,하남시,2015
경기도,하남시,2016
경기도,하남시,2017
경기도,하남시,2018
경기도,하남시,2019
경기도,하남시,2020
경기도,하남시,2021
경기도,하남시,2022
경기도,하남시,2023
경기도,하남시,2024
경기도,하남시,2025
경기도,화성시,2008
경기도,화성시,2009
경기도,화성시,2010
경기도,화성시,2011
경기도,화성시,2012
경기도,화성시,2013
경기도,화성시,2014
경기도,화성시,2015
경기도,화성시,2016
경기도,화성시,2017
경기도,화성시,2018
경기도,화성시,2019
경기도,화성시,2020
경기도,화성시,2021
경기도,화성시,2022
경기도,화성시,2023
경기도,화성시,2024
경기도,화성시,2025
경기도,화성시동부출장소,2020
경기도,화성시동부출장소,2021
경기도,화성시동부출장소,2022
경기도,화성시동부출장소,2023
경기도,화성시동부출장소,2024
경기도,화성시동부출장소,2025
경기도,화성시동탄출장소,2020
경기도,화성시동탄출장소,2021
경기도,화성시동탄출장소,2022
경기도,화성시동탄출장소,2023
경기도,화성시동탄출장소,2024
경기도,화성시동탄출장소,2025
경상남도,거제시,2008
경상남도,거제시,2009
경상남도,거제시,2010
경상남도,거제시,2011
경상남도,거제시,2012
경상남도,거제시,2013
경상남도,거제시,2014
경상남도,거제시,2015
경상남도,거제시,2016
경상남도,거제시,2017
경상남도,거제시,2018
경상남도,거제시,2019
경상남도,거제시,2020
경상남도,거제시,2021
경상남도,거제시,2022
경상남도,거제시,2023
경상남도,거제시,2024
경상남도,거제시,2025
경상남도,거창군,2008
경상남도,거창군,2009
경상남도,거창군,2010
경상남도,거창군,2011
경상남도,거창군,2012
경상남도,거창군,2013
경상남도,거창군,2014
경상남도,거창군,2015
경상남도,거창군,2016
경상남도,거창군,2017
경상남도,거창군,2018
경상남도,거창군,2019
경상남도,거창군,2020
경상남도,거창군,2021
경상남도,거창군,2022
경상남도,거창군,2023
경상남도,거창군,2024
경상남도,거창군,2025
경상남도,고성군,2008
경상남도,고성군,2009
경상남도,고성군,2010
경상남도,고성군,2011
경상남도,고성군,2012
경상남도,고성군,2013
경상남도,고성군,2014
경상남도,고성군,2015
경상남도,고성군,2016
경상남도,고성군,2017
경상남도,고성군,2018
경상남도,고성군,2019
경상남도,고성군,2020
