시도,시군구,E9_총계,연도,월
강원도,인제군,58,2010,6
강원도,정선군,27,2010,6
강원도,철원군,128,2010,6
강원도,춘천시,188,2010,6
강원도,태백시,87,2010,6
강원도,평창군,50,2010,6
강원도,홍천군,137,2010,6
강원도,화천군,21,2010,6
강원도,횡성군,151,2010,6
경기도,가평군,168,2010,6
경기도,고양시 덕양구,569,2010,6
경기도,고양시 일산동구,1165,2010,6
경기도,고양시 일산서구,487,2010,6
경기도,과천시,4,2010,6
경기도,광명시,203,2010,6
경기도,광주시,5369,2010,6
경기도,구리시,124,2010,6
경기도,군포시,1059,2010,6
경기도,김포시,7129,2010,6
경기도,남양주시,2116,2010,6
경기도,동두천시,606,2010,6
경기도,부천시 소사구,181,2010,6
경기도,부천시 오정구,1447,2010,6
경기도,부천시 원미구,1468,2010,6
경기도,성남시 분당구,152,2010,6
경기도,성남시 수정구,181,2010,6
경기도,성남시 중원구,340,2010,6
경기도,수원시 권선구,389,2010,6
경기도,수원시 영통구,546,2010,6
경기도,수원시 장안구,82,2010,6
경기도,수원시 팔달구,182,2010,6
경기도,시흥시,6885,2010,6
경기도,안산시 단원구,7552,2010,6
경기도,안산시 상록구,493,2010,6
경기도,안성시,2633,2010,6
경기도,안양시 동안구,267,2010,6
경기도,안양시 만안구,336,2010,6
경기도,양주시,4464,2010,6
경기도,양평군,289,2010,6
경기도,여주군,1029,2010,6
경기도,연천군,296,2010,6
경기도,오산시,419,2010,6
경기도,용인시,28,2010,6
경기도,용인시 기흥구,589,2010,6
경기도,용인시 수지구,190,2010,6
경기도,용인시 처인구,3044,2010,6
경기도,의왕시,329,2010,6
경기도,의정부시,463,2010,6
경기도,이천시,1830,2010,6
경기도,파주시,4192,2010,6
경기도,평택시,4303,2010,6
경기도,포천군,3,2010,6
경기도,포천시,5894,2010,6
경기도,하남시,591,2010,6
경기도,화성시,11752,2010,6
경상남도,거제시,2593,2010,6
경상남도,거창군,54,2010,6
경상남도,고성군,768,2010,6
경상남도,김해시,8920,2010,6
경상남도,남해군,200,2010,6
경상남도,마산시,968,2010,6
경상남도,밀양시,333,2010,6
경상남도,사천시,697,2010,6
경상남도,산청군,76,2010,6
경상남도,양산시,2051,2010,6
경상남도,의령군,278,2010,6
경상남도,진주시,1217,2010,6
경상남도,진해시,1339,2010,6
경상남도,창녕군,489,2010,6
경상남도,창원시,3446,2010,6
경상남도,통영시,1107,2010,6
경상남도,하동군,60,2010,6
경상남도,함안군,1646,2010,6
경상남도,함양군,131,2010,6
경상남도,합천군,133,2010,6
경상북도,경산시,1637,2010,6
경상북도,경주시,2387,2010,6
경상북도,고령군,874,2010,6
경상북도,구미시,2292,2010,6
경상북도,군위군,215,2010,6
경상북도,김천시,606,2010,6
경상북도,문경시,104,2010,6
경상북도,봉화군,55,2010,6
경상북도,상주시,200,2010,6
경상북도,성주군,607,2010,6
경상북도,안동시,194,2010,6
경상북도,영덕군,104,2010,6
경상북도,영양군,8,2010,6
경상북도,영주시,35,2010,6
경상북도,영천시,1053,2010,6
경상북도,예천군,92,2010,6
경상북도,울릉군,31,2010,6
경상북도,울진군,227,2010,6
경상북도,의성군,162,2010,6
경상북도,청도군,204,2010,6
경상북도,청송군,9,2010,6
경상북도,칠곡군,1796,2010,6
경상북도,포항시 남구,669,2010,6
경상북도,포항시 북구,186,2010,6
광주광역시,광산구,2892,2010,6
광주광역시,남구,10,2010,6
광주광역시,동구,7,2010,6
광주광역시,북구,265,2010,6
광주광역시,서구,57,2010,6
대구광역시,남구,3,2010,6
대구광역시,달서구,2848,2010,6
대구광역시,달성군,1564,2010,6
대구광역시,동구,79,2010,6
대구광역시,북구,794,2010,6
대구광역시,서구,717,2010,6
대구광역시,수성구,42,2010,6
대구광역시,중구,11,2010,6
대전광역시,대덕구,554,2010,6
대전광역시,동구,40,2010,6
대전광역시,서구,45,2010,6
대전광역시,유성구,130,2010,6
대전광역시,중구,62,2010,6
부산광역시,강서구,2833,2010,6
부산광역시,금정구,210,2010,6
부산광역시,기장군,579,2010,6
부산광역시,남구,57,2010,6
부산광역시,동구,33,2010,6
부산광역시,동래구,74,2010,6
부산광역시,부산진구,69,2010,6
부산광역시,북구,20,2010,6
부산광역시,사상구,1143,2010,6
부산광역시,사하구,1675,2010,6
부산광역시,서구,55,2010,6
부산광역시,수영구,22,2010,6
부산광역시,연제구,35,2010,6
부산광역시,영도구,169,2010,6
부산광역시,중구,10,2010,6
부산광역시,해운대구,49,2010,6
서울특별시,강남구,433,2010,6
서울특별시,강동구,183,2010,6
서울특별시,강북구,125,2010,6
서울특별시,강서구,228,2010,6
서울특별시,관악구,252,2010,6
서울특별시,광진구,256,2010,6
서울특별시,구로구,558,2010,6
서울특별시,금천구,980,2010,6
서울특별시,노원구,77,2010,6
서울특별시,도봉구,245,2010,6
서울특별시,동대문구,307,2010,6
서울특별시,동작구,155,2010,6
서울특별시,마포구,289,2010,6
서울특별시,서대문구,113,2010,6
서울특별시,서초구,317,2010,6
서울특별시,성동구,862,2010,6
서울특별시,성북구,294,2010,6
서울특별시,송파구,267,2010,6
서울특별시,양천구,144,2010,6
서울특별시,영등포구,630,2010,6
서울특별시,용산구,223,2010,6
서울특별시,은평구,140,2010,6
서울특별시,종로구,175,2010,6
서울특별시,중구,345,2010,6
서울특별시,중랑구,197,2010,6
울산광역시,남구,379,2010,6
울산광역시,동구,611,2010,6
울산광역시,북구,817,2010,6
울산광역시,울주군,1979,2010,6
울산광역시,중구,39,2010,6
인천광역시,강화군,132,2010,6
인천광역시,계양구,485,2010,6
인천광역시,남구,869,2010,6
인천광역시,남동구,6782,2010,6
인천광역시,동구,298,2010,6
인천광역시,부평구,1068,2010,6
인천광역시,서구,5784,2010,6
인천광역시,연수구,473,2010,6
인천광역시,옹진군,42,2010,6
인천광역시,중구,274,2010,6
전라남도,강진군,43,2010,6
전라남도,고흥군,79,2010,6
전라남도,곡성군,126,2010,6
전라남도,광양시,249,2010,6
전라남도,구례군,15,2010,6
전라남도,나주시,427,2010,6
전라남도,담양군,244,2010,6
전라남도,목포시,182,2010,6
전라남도,무안군,208,2010,6
